cylinders,displ,drive
5.0,2.3,4-Wheel or All-Wheel Drive
5.0,2.4,4-Wheel or All-Wheel Drive
8.0,4.7,4-Wheel or All-Wheel Drive
12.0,5.3,Rear-Wheel Drive
6.0,2.9,Front-Wheel Drive
6.0,3.7,Rear-Wheel Drive
8.0,4.8,Rear-Wheel Drive
8.0,6.0,Rear-Wheel Drive
8.0,4.8,4-Wheel or All-Wheel Drive
8.0,5.3,4-Wheel or All-Wheel Drive
6.0,2.5,4-Wheel or All-Wheel Drive
8.0,4.9,Rear-Wheel Drive
8.0,3.6,Rear-Wheel Drive
6.0,2.7,Rear-Wheel Drive
12.0,5.9,Rear-Wheel Drive
6.0,2.7,4-Wheel or All-Wheel Drive
8.0,3.9,Rear-Wheel Drive
8.0,5.5,Rear-Wheel Drive
8.0,4.7,Rear-Wheel Drive
6.0,4.7,4-Wheel or All-Wheel Drive
8.0,5.5,4-Wheel or All-Wheel Drive
12.0,6.0,4-Wheel or All-Wheel Drive
6.0,2.6,Rear-Wheel Drive
12.0,5.8,Rear-Wheel Drive
4.0,1.5,Rear-Wheel Drive
8.0,3.2,Rear-Wheel Drive
8.0,6.0,4-Wheel or All-Wheel Drive
12.0,5.2,Rear-Wheel Drive
8.0,5.6,Rear-Wheel Drive
8.0,4.4,4-Wheel or All-Wheel Drive
12.0,6.2,4-Wheel or All-Wheel Drive
4.0,1.1,Front-Wheel Drive
5.0,2.2,Front-Wheel Drive
6.0,3.7,4-Wheel or All-Wheel Drive
10.0,8.3,Rear-Wheel Drive
6.0,2.6,4-Wheel or All-Wheel Drive
5.0,2.5,4-Wheel or All-Wheel Drive
5.0,2.5,Rear-Wheel Drive
8.0,4.5,4-Wheel or All-Wheel Drive
6.0,2.9,4-Wheel or All-Wheel Drive
10.0,5.0,4-Wheel or All-Wheel Drive
6.0,2.4,Rear-Wheel Drive
10.0,5.7,Rear-Wheel Drive
12.0,6.7,Rear-Wheel Drive
4.0,2.8,Rear-Wheel Drive
5.0,3.5,Rear-Wheel Drive
4.0,2.8,4-Wheel or All-Wheel Drive
5.0,3.5,4-Wheel or All-Wheel Drive
8.0,5.6,4-Wheel or All-Wheel Drive
6.0,3.9,Front-Wheel Drive
6.0,4.2,Front-Wheel Drive
4.0,1.4,Front-Wheel Drive
6.0,3.6,Front-Wheel Drive
8.0,5.3,Front-Wheel Drive
8.0,6.1,Rear-Wheel Drive
8.0,7.0,Rear-Wheel Drive
10.0,5.0,Rear-Wheel Drive
8.0,6.1,4-Wheel or All-Wheel Drive
16.0,8.0,4-Wheel or All-Wheel Drive
12.0,6.5,4-Wheel or All-Wheel Drive
4.0,2.9,Rear-Wheel Drive
5.0,3.7,Rear-Wheel Drive
4.0,2.9,4-Wheel or All-Wheel Drive
5.0,3.7,4-Wheel or All-Wheel Drive
10.0,5.2,4-Wheel or All-Wheel Drive
6.0,4.0,Front-Wheel Drive
4.0,3.5,Front-Wheel Drive
8.0,3.8,Rear-Wheel Drive
6.0,3.7,Front-Wheel Drive
10.0,8.4,Rear-Wheel Drive
3.0,1.0,Rear-Wheel Drive
8.0,4.2,All-Wheel Drive
6.0,3.8,4-Wheel Drive
6.0,3.0,All-Wheel Drive
6.0,3.6,All-Wheel Drive
6.0,3.5,All-Wheel Drive
4.0,2.4,All-Wheel Drive
8.0,4.6,Part-time 4-Wheel Drive
8.0,5.7,Part-time 4-Wheel Drive
8.0,4.6,4-Wheel Drive
6.0,3.2,4-Wheel Drive
8.0,5.0,4-Wheel Drive
4.0,2.3,4-Wheel Drive
8.0,5.6,4-Wheel Drive
8.0,4.8,All-Wheel Drive
4.0,2.5,All-Wheel Drive
6.0,3.2,All-Wheel Drive
4.0,2.0,
4.0,1.5,
8.0,5.7,
6.0,3.0,
4.0,1.6,
4.0,1.3,
8.0,5.0,
12.0,4.8,
4.0,2.2,
2.0,1.1,
2.0,1.3,
8.0,3.8,
4.0,2.5,
6.0,2.5,
6.0,3.2,
8.0,4.7,
4.0,1.8,
8.0,5.3,
5.0,2.1,
5.0,2.2,
6.0,2.7,
6.0,2.8,
4.0,2.6,
6.0,2.4,
4.0,1.7,
4.0,1.4,
4.0,2.3,
6.0,3.8,
12.0,5.3,
6.0,4.2,
8.0,6.8,
4.0,2.4,
6.0,4.1,
8.0,4.1,
5.0,3.0,
4.0,2.1,
6.0,4.3,
8.0,5.2,
8.0,4.9,
6.0,2.9,
6.0,4.1,2-Wheel Drive
8.0,5.0,2-Wheel Drive
8.0,5.7,2-Wheel Drive
8.0,6.0,
8.0,5.8,
4.0,2.0,2-Wheel Drive
4.0,2.2,2-Wheel Drive
6.0,2.8,2-Wheel Drive
4.0,2.4,2-Wheel Drive
4.0,2.5,2-Wheel Drive
4.0,2.3,2-Wheel Drive
4.0,2.6,2-Wheel Drive
8.0,6.2,2-Wheel Drive
6.0,3.8,2-Wheel Drive
6.0,3.7,2-Wheel Drive
8.0,5.2,2-Wheel Drive
8.0,5.9,2-Wheel Drive
6.0,4.9,2-Wheel Drive
8.0,5.8,2-Wheel Drive
6.0,4.1,4-Wheel or All-Wheel Drive
4.0,1.9,2-Wheel Drive
6.0,4.2,2-Wheel Drive
4.0,1.6,2-Wheel Drive
8.0,6.0,2-Wheel Drive
10.0,5.2,All-Wheel Drive
4.0,2.0,All-Wheel Drive
12.0,6.5,All-Wheel Drive
12.0,6.0,All-Wheel Drive
5.0,2.5,All-Wheel Drive
6.0,3.7,All-Wheel Drive
8.0,4.6,All-Wheel Drive
8.0,4.4,All-Wheel Drive
8.0,5.7,All-Wheel Drive
6.0,3.5,4-Wheel Drive
6.0,4.3,4-Wheel Drive
8.0,5.7,4-Wheel Drive
6.0,4.0,4-Wheel Drive
8.0,5.4,4-Wheel Drive
6.0,3.7,4-Wheel Drive
4.0,2.0,4-Wheel Drive
6.0,2.7,4-Wheel Drive
4.0,2.4,4-Wheel Drive
6.0,3.8,All-Wheel Drive
6.0,3.6,4-Wheel Drive
6.0,5.3,Rear-Wheel Drive
8.0,5.4,2-Wheel Drive
6.0,3.3,2-Wheel Drive
8.0,3.5,
6.0,4.0,2-Wheel Drive
8.0,5.3,2-Wheel Drive
16.0,8.0,All-Wheel Drive
8.0,5.5,4-Wheel Drive
8.0,6.3,Rear-Wheel Drive
4.0,2.9,4-Wheel Drive
5.0,3.7,4-Wheel Drive
4.0,2.3,All-Wheel Drive
8.0,4.7,4-Wheel Drive
4.0,2.7,Front-Wheel Drive
4.0,2.7,All-Wheel Drive
4.0,2.5,4-Wheel Drive
6.0,3.0,4-Wheel Drive
8.0,5.3,4-Wheel Drive
8.0,5.3,All-Wheel Drive
8.0,6.3,4-Wheel Drive
0.0,0.0,4-Wheel Drive
6.0,2.5,All-Wheel Drive
4.0,2.7,Part-time 4-Wheel Drive
6.0,4.0,Part-time 4-Wheel Drive
6.0,4.2,4-Wheel Drive
8.0,4.0,4-Wheel Drive
8.0,4.4,4-Wheel Drive
8.0,4.5,All-Wheel Drive
8.0,6.1,4-Wheel Drive
6.0,3.3,All-Wheel Drive
8.0,4.8,4-Wheel Drive
8.0,6.2,4-Wheel Drive
8.0,6.0,4-Wheel Drive
8.0,6.2,All-Wheel Drive
8.0,5.0,All-Wheel Drive
12.0,6.6,Rear-Wheel Drive
6.0,2.8,All-Wheel Drive
8.0,5.6,All-Wheel Drive
4.0,1.6,All-Wheel Drive
10.0,6.8,Rear-Wheel Drive
0.0,0.0,2-Wheel Drive
0.0,0.0,
0.0,0.0,Front-Wheel Drive
8.0,6.4,Rear-Wheel Drive
8.0,6.2,Part-time 4-Wheel Drive
4.0,2.2,4-Wheel Drive
0.0,0.0,Rear-Wheel Drive
10.0,4.8,Rear-Wheel Drive
12.0,6.3,All-Wheel Drive
8.0,6.4,4-Wheel Drive
8.0,5.4,Part-time 4-Wheel Drive
6.0,3.7,Part-time 4-Wheel Drive
6.0,3.5,Part-time 4-Wheel Drive
8.0,5.0,Part-time 4-Wheel Drive
12.0,6.3,Part-time 4-Wheel Drive
8.0,4.0,All-Wheel Drive
6.0,3.4,4-Wheel Drive
4.0,1.2,Front-Wheel Drive
6.0,4.0,All-Wheel Drive
4.0,1.4,All-Wheel Drive
6.0,3.3,4-Wheel Drive
5.0,3.0,Rear-Wheel Drive
4.0,2.1,4-Wheel Drive
12.0,6.3,Rear-Wheel Drive
3.0,1.5,Front-Wheel Drive
2.0,0.6,Rear-Wheel Drive
3.0,1.5,All-Wheel Drive
6.0,2.7,Part-time 4-Wheel Drive
4.0,1.8,All-Wheel Drive
0.0,0.0,All-Wheel Drive
6.0,2.7,All-Wheel Drive
3.0,0.9,Rear-Wheel Drive
12.0,6.0,4-Wheel Drive
4.0,2.8,4-Wheel Drive
8.0,6.4,All-Wheel Drive
4.0,1.5,All-Wheel Drive
10.0,5.2,Rear-Wheel Drive
4.0,1.4,Rear-Wheel Drive
8.0,3.0,All-Wheel Drive
4.0,2.0,"2-Wheel Drive, Front"
8.0,5.6,Part-time 4-Wheel Drive
8.0,3.5,4-Wheel or All-Wheel Drive
8.0,5.7,Front-Wheel Drive
8.0,4.5,Front-Wheel Drive
5.0,2.1,4-Wheel or All-Wheel Drive
8.0,4.9,4-Wheel or All-Wheel Drive
6.0,3.1,Rear-Wheel Drive
8.0,3.6,4-Wheel or All-Wheel Drive
